key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
mono_1_128_1__all,False,1,128,1,,all,3.0433197816212973,0.5036628842353821,0.27778519534391305,-0.25584011426867037,27.500902360677024
mono_1_128_1__first,False,1,128,1,,first,1.7002668778101604,0.5797436237335205,0.4615933930773647,-0.030001862516853883,35.70443623348609
mono_1_128_1__last,False,1,128,1,,last,2.019977331161499,0.5852069854736328,0.44042540840456235,0.04976373776378207,43.02185013830572
mono_1_128_1__terminal,False,1,128,1,,terminal,2.62628173828125,0.4829641282558441,0.32096873244501195,-0.2529167202439353,37.38550344699818
mono_1_16_1_#ow_all,False,1,16,1,#ow,all,3.6665294965108237,0.3968539834022522,0.20614414091646205,-0.33099972126997423,28.24092970180469
mono_1_16_1_#ow_first,False,1,16,1,#ow,first,2.6336209774017334,0.21559150516986847,0.09423743949445323,-0.7813169267148473,9.95418342152533
mono_1_16_1_#ow_last,False,1,16,1,#ow,last,1.5742249488830566,0.5894095301628113,0.4501294097609588,0.018447867635242088,19.459160759426986
mono_1_16_1_#ow_terminal,False,1,16,1,#ow,terminal,3.045766830444336,0.28934648633003235,0.1677265756060657,-0.5743244446793263,19.341435181711084
mono_1_16_1_bow_all,False,1,16,1,bow,all,3.491182724634806,0.4101666808128357,0.18830917317949372,-0.3747788298094239,25.824501213306313
mono_1_16_1_bow_first,False,1,16,1,bow,first,2.637808163960775,0.21517124772071838,0.09165906414025199,-0.8128257314106908,10.594561172824262
mono_1_16_1_bow_last,False,1,16,1,bow,last,1.9835276206334431,0.5875183939933777,0.41437954324090237,-0.001992675146009537,29.792287401782513
mono_1_16_1_bow_terminal,False,1,16,1,bow,terminal,3.370283842086792,0.31046438217163086,0.17705372691087992,-0.5769207368791021,33.410505344647795
mono_1_16_1_eow_all,False,1,16,1,eow,all,3.2298898696899414,0.464722216129303,0.25745994696564756,-0.2975921988981869,28.468789363147433
mono_1_16_1_eow_first,False,1,16,1,eow,first,1.750929832458496,0.5309938788414001,0.38248562376334583,-0.11661393859423907,23.78957610616498
mono_1_16_1_eow_last,False,1,16,1,eow,last,1.658247669537862,0.5427610874176025,0.38157672347999516,-0.0034266376264326937,19.745557308856206
mono_1_16_1_eow_terminal,False,1,16,1,eow,terminal,2.6435676415761313,0.4328640401363373,0.2649872326994212,-0.1534336144873112,29.673088133493547
mono_1_16_1__all,False,1,16,1,,all,3.1131815910339355,0.5064572095870972,0.2450378239357908,-0.2701714751604738,25.988821427259168
mono_1_16_1__first,False,1,16,1,,first,1.824122150739034,0.5473839044570923,0.3670365160149607,-0.054804275472571495,34.349102768836445
mono_1_16_1__last,False,1,16,1,,last,2.202034076054891,0.5585206747055054,0.36204291069452593,0.07801488445877947,38.48091142549069
mono_1_16_1__terminal,False,1,16,1,,terminal,2.7752880255381265,0.4482446014881134,0.2662465263707397,-0.3471783394350698,33.221409043701584
mono_1_32_1_#ow_all,False,1,32,1,#ow,all,3.6056217352549234,0.4504151940345764,0.24570659914209755,-0.30524086874068823,31.387107872411796
mono_1_32_1_#ow_first,False,1,32,1,#ow,first,2.5944337844848633,0.21412061154842377,0.10146701833985511,-0.8243377638134395,8.627780791997134
mono_1_32_1_#ow_last,False,1,32,1,#ow,last,1.4650104840596516,0.5973944067955017,0.4638755924128365,0.008915867374845177,18.376307507870706
mono_1_32_1_#ow_terminal,False,1,32,1,#ow,terminal,2.9178597132364907,0.34461021423339844,0.23185940239299907,-0.613068910578042,21.023613870303972
mono_1_32_1_bow_all,False,1,32,1,bow,all,3.4585686524709067,0.43477779626846313,0.21907279697957036,-0.37399766172259286,27.67821453789596
mono_1_32_1_bow_first,False,1,32,1,bow,first,2.6098461151123047,0.21159906685352325,0.10583738708659429,-0.9236717282612112,9.243279099341754
mono_1_32_1_bow_last,False,1,32,1,bow,last,1.8947498798370361,0.6114729642868042,0.4487642295533116,0.07724442638641527,30.29113083567985
mono_1_32_1_bow_terminal,False,1,32,1,bow,terminal,3.2375856240590415,0.3478671908378601,0.20507043207552222,-0.5829276864997661,34.27529571156302
mono_1_32_1_eow_all,False,1,32,1,eow,all,3.1497532526652017,0.5126110911369324,0.3124926212511399,-0.21494469783657388,30.538380839484407
mono_1_32_1_eow_first,False,1,32,1,eow,first,1.6250801881154378,0.5702878832817078,0.45520392058880055,-0.07139927647937006,24.09515467148909
mono_1_32_1_eow_last,False,1,32,1,eow,last,1.5136278470357258,0.6001260876655579,0.4834268687581766,0.04021928737706715,19.697656042457975
mono_1_32_1_eow_terminal,False,1,32,1,eow,terminal,2.3983116944630942,0.537087619304657,0.3927972623662362,-0.11670271727843251,32.57153596662143
mono_1_32_1__all,False,1,32,1,,all,3.024529218673706,0.521561861038208,0.2768556158293815,-0.24897131514623652,28.480251776450878
mono_1_32_1__first,False,1,32,1,,first,1.7276935577392578,0.579113245010376,0.4420462343234309,-0.06523313628800609,33.066267083299486
mono_1_32_1__last,False,1,32,1,,last,2.086428960164388,0.5786929726600647,0.389969573225256,0.042112855363305,36.844325417639155
mono_1_32_1__terminal,False,1,32,1,,terminal,2.646554470062256,0.4793367087841034,0.30699326245971276,-0.2920292155101243,34.529882456639186
mono_1_64_1_#ow_all,False,1,64,1,#ow,all,3.579785108566284,0.4470319449901581,0.25365208366280073,-0.32358542665551204,30.595799108321902
mono_1_64_1_#ow_first,False,1,64,1,#ow,first,2.575703779856364,0.21538136899471283,0.10806442894813069,-0.799177966103024,9.301255262029636
mono_1_64_1_#ow_last,False,1,64,1,#ow,last,1.4272676706314087,0.5864677429199219,0.49221665577638823,-0.0017993421068387416,17.64101630777373
mono_1_64_1_#ow_terminal,False,1,64,1,#ow,terminal,2.904066562652588,0.3566925823688507,0.25567007572876194,-0.5923740802193647,20.486048857153207
mono_1_64_1_bow_all,False,1,64,1,bow,all,3.440424919128418,0.44566667079925537,0.23159749048795775,-0.39210766670019526,28.212732252565058
mono_1_64_1_bow_first,False,1,64,1,bow,first,2.604154666264852,0.21979406476020813,0.11516451760523422,-0.8022914090809221,10.326293545498002
mono_1_64_1_bow_last,False,1,64,1,bow,last,1.7990425825119019,0.6102122068405151,0.490251285410667,0.0709984095419326,30.60912450429936
mono_1_64_1_bow_terminal,False,1,64,1,bow,terminal,3.2120813528696694,0.3509140610694885,0.2164943280304448,-0.4971167521532241,38.17889978293675
mono_1_64_1_eow_all,False,1,64,1,eow,all,3.1218603452046714,0.5101110935211182,0.30736643147420883,-0.15858876092895002,30.70279935487765
mono_1_64_1_eow_first,False,1,64,1,eow,first,1.6049455801645915,0.5744904279708862,0.45667867373028787,-0.0047465184590969045,23.88631657481033
mono_1_64_1_eow_last,False,1,64,1,eow,last,1.4524757464726765,0.5849968194961548,0.4756836167672681,-0.0071412368823644545,19.898272547750754
mono_1_64_1_eow_terminal,False,1,64,1,eow,terminal,2.3785250186920166,0.5378230810165405,0.39942067643557966,-0.13797422465439468,31.734476432247277
mono_1_64_1__all,False,1,64,1,,all,3.0342793464660645,0.522468090057373,0.2805612753432091,-0.24199427574648236,28.48148969159258
